               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11795,            0.059593,                   0,            0.030536,             0.28235,            0.045073,           0.0098399,            0.094064,            0.073428,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.090486,            0.064286,                   0,             0.12463,             0.47273,              0.1052,            0.029398,            0.090203,            0.056249,                   0,            0.066334,           0.0033337,           0.0033337
                   2,            0.076061,            0.050285,                   0,             0.37681,             0.47241,             0.36784,            0.079579,            0.073963,            0.054145,                   0,            0.048491,           0.0044912,           0.0044912
                   3,            0.071272,            0.046868,                   0,             0.42602,              0.6414,             0.45308,             0.11928,            0.071773,            0.053121,                   0,            0.030272,           0.0052725,           0.0052725
                   4,            0.066458,            0.047643,                   0,             0.54413,             0.53102,             0.57115,             0.20569,            0.071531,            0.047659,                   0,            0.011678,           0.0056776,           0.0056776
                   5,            0.061153,            0.044657,                   0,             0.53428,             0.70267,               0.647,             0.21065,            0.053772,            0.046937,                   0,             0.00505,             0.00505,             0.00505
                   6,            0.057824,            0.043934,                   0,             0.43724,              0.5754,             0.49996,             0.21058,            0.059213,            0.043145,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.050554,            0.042915,                   0,             0.62863,             0.63455,             0.64896,             0.29419,              0.0435,            0.043926,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.042269,            0.043424,                   0,             0.59565,             0.74996,             0.69906,             0.38225,            0.039752,            0.042751,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.036483,            0.041484,                   0,             0.75456,             0.87647,             0.83336,             0.47297,            0.030345,            0.041066,                   0,             0.00208,             0.00208,             0.00208
